,tom_agent_class,tom_agent_softmax_temp,tom_agent_num_hypotheses,timestamp,total_wins,total_losses,win_percentage,total_ties,loss_percentage,tie_percentage,seed,total_cost,sequential_agent_class,total_time
322,choose_hypothesis_gpt4o,0.2,5.0,2025-02-15_17-31-44,218.0,50.0,0.7266666666666667,32.0,0.1666666666666666,0.1066666666666666,5.0,6.2785,W_stay_L_up_T_down,27.8
323,choose_hypothesis_gpt4o,0.2,5.0,2025-02-15_17-59-31,196.0,54.0,0.6533333333333333,50.0,0.18,0.1666666666666666,5.0,6.0425,opponent_transition_stay,27.8
324,hm_gpt35,0.2,5.0,2025-02-15_17-32-04,102.0,80.0,0.34,118.0,0.2666666666666666,0.3933333333333333,1.0,24.37,opponent_transition_stay,72.1
325,hm_llama3,0.2,5.0,2025-02-15_13-59-15,158.0,82.0,0.5266666666666666,60.0,0.2733333333333333,0.2,4.0,0.0,W_up_L_down_T_stay,290.1
326,choose_hypothesis_gpt4o,0.2,5.0,2025-02-15_18-27-19,206.0,30.0,0.6866666666666666,64.0,0.1,0.2133333333333333,3.0,6.5596,W_up_L_down_T_stay,28.5
327,choose_hypothesis_gpt4o,0.2,5.0,2025-02-15_18-55-48,178.0,36.0,0.5933333333333334,86.0,0.12,0.2866666666666667,4.0,7.695,W_up_L_down_T_stay,32.6
328,hm_gpt35,0.2,5.0,2025-02-15_18-44-10,99.0,83.0,0.33,118.0,0.2766666666666666,0.3933333333333333,2.0,19.4688,opponent_transition_stay,55.6
329,choose_hypothesis_gpt4o,0.2,5.0,2025-02-15_19-28-27,214.0,32.0,0.7133333333333334,54.0,0.1066666666666666,0.18,5.0,5.9562,W_up_L_down_T_stay,27.1
330,choose_hypothesis_gpt4o,0.2,5.0,2025-02-15_19-55-36,214.0,38.0,0.7133333333333334,48.0,0.1266666666666666,0.16,4.0,5.9681,opponent_transition_up,28.4
331,hm_gpt35,0.2,5.0,2025-02-15_19-39-47,121.0,101.0,0.4033333333333333,78.0,0.3366666666666666,0.26,2.0,17.0405,W_up_L_down_T_stay,49.8
332,choose_hypothesis_gpt4o,0.2,5.0,2025-02-15_20-24-00,215.0,34.0,0.7166666666666667,51.0,0.1133333333333333,0.17,5.0,5.7716,opponent_transition_up,25.7
333,choose_hypothesis_gpt4o,0.2,5.0,2025-02-15_20-49-42,112.0,92.0,0.3733333333333333,96.0,0.3066666666666666,0.32,5.0,10.3102,self_transition_down,43.5
334,hm_gpt35,0.2,5.0,2025-02-15_20-29-38,79.0,117.0,0.2633333333333333,104.0,0.39,0.3466666666666667,1.0,29.4803,prev_outcome_prev_transition,85.0
335,choose_hypothesis_gpt4o,0.2,5.0,2025-02-15_21-33-13,112.0,86.0,0.3733333333333333,102.0,0.2866666666666667,0.34,4.0,13.5709,prev_outcome_prev_transition,57.7
336,hm_gpt35,0.2,5.0,2025-02-15_21-54-40,92.0,122.0,0.3066666666666666,86.0,0.4066666666666667,0.2866666666666667,2.0,15.9739,prev_outcome_prev_transition,50.0
337,,,,,,,,,,,,,,
338,choose_hypothesis_gpt4o,0.2,5.0,2025-02-15_22-30-55,105.0,95.0,0.35,100.0,0.3166666666666666,0.3333333333333333,5.0,13.5306,prev_outcome_prev_transition,55.1
339,base_llm_gpt35,0.2,5.0,2025-02-16_16-52-18,109.0,91.0,0.3633333333333333,100.0,0.3033333333333333,0.3333333333333333,0.0,0.4603,W_stay_L_up_T_down,2.8
340,base_llm_gpt35,0.2,5.0,2025-02-16_16-55-08,112.0,90.0,0.3733333333333333,98.0,0.3,0.3266666666666666,1.0,0.4601,W_stay_L_up_T_down,2.8
341,base_llm_gpt35,0.2,5.0,2025-02-16_16-57-56,107.0,94.0,0.3566666666666667,99.0,0.3133333333333333,0.33,2.0,0.4602,W_stay_L_up_T_down,2.7
342,base_llm_gpt35,0.2,5.0,2025-02-16_17-00-42,131.0,97.0,0.4366666666666666,72.0,0.3233333333333333,0.24,0.0,0.4596,opponent_transition_stay,2.8
343,base_llm_llama3,0.2,5.0,2025-02-16_16-52-44,113.0,94.0,0.3766666666666666,93.0,0.3133333333333333,0.31,0.0,0.0,W_stay_L_up_T_down,12.0
344,base_llm_gpt35,0.2,5.0,2025-02-16_17-03-32,120.0,105.0,0.4,75.0,0.35,0.25,1.0,0.4593,opponent_transition_stay,2.8
345,base_llm_gpt35,0.2,5.0,2025-02-16_17-06-19,124.0,102.0,0.4133333333333333,74.0,0.34,0.2466666666666666,2.0,0.4594,opponent_transition_stay,2.8
346,base_llm_gpt35,0.2,5.0,2025-02-16_17-09-09,113.0,83.0,0.3766666666666666,104.0,0.2766666666666666,0.3466666666666667,0.0,0.4601,W_up_L_down_T_stay,2.7
347,base_llm_gpt35,0.2,5.0,2025-02-16_17-11-54,98.0,92.0,0.3266666666666666,110.0,0.3066666666666666,0.3666666666666666,1.0,0.4602,W_up_L_down_T_stay,2.8
348,base_llm_llama3,0.2,5.0,2025-02-16_17-04-44,116.0,87.0,0.3866666666666666,97.0,0.29,0.3233333333333333,1.0,0.0,W_stay_L_up_T_down,12.0
349,base_llm_gpt35,0.2,5.0,2025-02-16_17-14-45,105.0,86.0,0.35,109.0,0.2866666666666667,0.3633333333333333,2.0,0.46,W_up_L_down_T_stay,2.7
350,base_llm_gpt35,0.2,5.0,2025-02-16_17-17-29,133.0,19.0,0.4433333333333333,148.0,0.0633333333333333,0.4933333333333333,0.0,0.457,opponent_transition_up,2.8
351,base_llm_gpt35,0.2,5.0,2025-02-16_17-20-17,137.0,22.0,0.4566666666666666,141.0,0.0733333333333333,0.47,1.0,0.457,opponent_transition_up,2.9
352,base_llm_gpt35,0.2,5.0,2025-02-16_17-23-15,146.0,14.0,0.4866666666666667,140.0,0.0466666666666666,0.4666666666666667,2.0,0.4568,opponent_transition_up,3.0
353,base_llm_llama3,0.2,5.0,2025-02-16_17-16-44,119.0,90.0,0.3966666666666666,91.0,0.3,0.3033333333333333,2.0,0.0,W_stay_L_up_T_down,12.1
354,base_llm_gpt35,0.2,5.0,2025-02-16_17-26-18,116.0,66.0,0.3866666666666666,118.0,0.22,0.3933333333333333,0.0,0.46,self_transition_up,2.8
355,base_llm_gpt35,0.2,5.0,2025-02-16_17-29-08,96.0,64.0,0.32,140.0,0.2133333333333333,0.4666666666666667,1.0,0.4598,self_transition_up,2.8
356,base_llm_gpt35,0.2,5.0,2025-02-16_17-31-56,116.0,66.0,0.3866666666666666,118.0,0.22,0.3933333333333333,2.0,0.4598,self_transition_up,2.7
357,base_llm_gpt35,0.2,5.0,2025-02-16_17-34-38,91.0,136.0,0.3033333333333333,73.0,0.4533333333333333,0.2433333333333333,0.0,0.4598,self_transition_down,3.4
358,base_llm_llama3,0.2,5.0,2025-02-16_17-28-49,175.0,65.0,0.5833333333333334,60.0,0.2166666666666666,0.2,0.0,0.0,opponent_transition_stay,12.1
359,base_llm_gpt35,0.2,5.0,2025-02-16_17-38-05,92.0,134.0,0.3066666666666666,74.0,0.4466666666666666,0.2466666666666666,1.0,0.4599,self_transition_down,2.8
360,base_llm_gpt35,0.2,5.0,2025-02-16_17-40-56,83.0,134.0,0.2766666666666666,83.0,0.4466666666666666,0.2766666666666666,2.0,0.4599,self_transition_down,2.8
361,base_llm_gpt35,0.2,5.0,2025-02-16_17-43-46,105.0,101.0,0.35,94.0,0.3366666666666666,0.3133333333333333,0.0,0.4597,prev_outcome_prev_transition,2.8
362,base_llm_gpt35,0.2,5.0,2025-02-16_17-46-33,107.0,88.0,0.3566666666666667,105.0,0.2933333333333333,0.35,1.0,0.4594,prev_outcome_prev_transition,3.0
363,base_llm_gpt35,0.2,5.0,2025-02-16_17-49-31,96.0,109.0,0.32,95.0,0.3633333333333333,0.3166666666666666,2.0,0.4595,prev_outcome_prev_transition,2.9
364,base_llm_llama3,0.2,5.0,2025-02-16_17-40-54,181.0,57.0,0.6033333333333334,62.0,0.19,0.2066666666666666,1.0,0.0,opponent_transition_stay,12.1
365,base_llm_llama3,0.2,5.0,2025-02-16_17-52-59,207.0,34.0,0.69,59.0,0.1133333333333333,0.1966666666666666,2.0,0.0,opponent_transition_stay,12.1
366,base_llm_llama3,0.2,5.0,2025-02-16_18-05-04,104.0,85.0,0.3466666666666667,111.0,0.2833333333333333,0.37,0.0,0.0,W_up_L_down_T_stay,12.1
367,base_llm_llama3,0.2,5.0,2025-02-16_18-17-12,107.0,84.0,0.3566666666666667,109.0,0.28,0.3633333333333333,1.0,0.0,W_up_L_down_T_stay,12.1
368,base_llm_llama3,0.2,5.0,2025-02-16_18-29-18,103.0,91.0,0.3433333333333333,106.0,0.3033333333333333,0.3533333333333333,2.0,0.0,W_up_L_down_T_stay,12.3
369,base_llm_llama3,0.2,5.0,2025-02-16_18-41-35,40.0,25.0,0.1333333333333333,235.0,0.0833333333333333,0.7833333333333333,0.0,0.0,opponent_transition_up,13.1
370,base_llm_llama3,0.2,5.0,2025-02-16_18-54-40,49.0,40.0,0.1633333333333333,211.0,0.1333333333333333,0.7033333333333334,1.0,0.0,opponent_transition_up,13.6
371,base_llm_llama3,0.2,5.0,2025-02-16_19-08-19,42.0,40.0,0.14,218.0,0.1333333333333333,0.7266666666666667,2.0,0.0,opponent_transition_up,13.4
372,base_llm_gpt35,0.2,5.0,2025-02-16_19-24-55,108.0,89.0,0.36,103.0,0.2966666666666667,0.3433333333333333,3.0,0.4602,W_stay_L_up_T_down,2.7
373,base_llm_gpt35,0.2,5.0,2025-02-16_19-27-37,117.0,86.0,0.39,97.0,0.2866666666666667,0.3233333333333333,4.0,0.4601,W_stay_L_up_T_down,3.2
374,base_llm_gpt35,0.2,5.0,2025-02-16_19-30-49,116.0,88.0,0.3866666666666666,96.0,0.2933333333333333,0.32,5.0,0.4604,W_stay_L_up_T_down,2.7
375,base_llm_gpt35,0.2,5.0,2025-02-16_19-33-29,114.0,89.0,0.38,97.0,0.2966666666666667,0.3233333333333333,6.0,0.4603,W_stay_L_up_T_down,2.9
376,base_llm_llama3,0.2,5.0,2025-02-16_19-21-46,28.0,28.0,0.0933333333333333,244.0,0.0933333333333333,0.8133333333333334,0.0,0.0,self_transition_up,14.9
377,base_llm_gpt35,0.2,5.0,2025-02-16_19-36-27,115.0,90.0,0.3833333333333333,95.0,0.3,0.3166666666666666,7.0,0.4604,W_stay_L_up_T_down,2.7
378,base_llm_gpt35,0.2,5.0,2025-02-16_19-39-12,117.0,94.0,0.39,89.0,0.3133333333333333,0.2966666666666667,8.0,0.4603,W_stay_L_up_T_down,3.0
379,base_llm_gpt35,0.2,5.0,2025-02-16_19-42-11,111.0,94.0,0.37,95.0,0.3133333333333333,0.3166666666666666,9.0,0.4602,W_stay_L_up_T_down,2.9
380,base_llm_gpt35,0.2,5.0,2025-02-16_19-45-06,115.0,110.0,0.3833333333333333,75.0,0.3666666666666666,0.25,3.0,0.4594,opponent_transition_stay,2.9
381,base_llm_gpt35,0.2,5.0,2025-02-16_19-48-04,134.0,101.0,0.4466666666666666,65.0,0.3366666666666666,0.2166666666666666,4.0,0.4588,opponent_transition_stay,3.0
382,base_llm_llama3,0.2,5.0,2025-02-16_19-36-44,20.0,32.0,0.0666666666666666,248.0,0.1066666666666666,0.8266666666666667,1.0,0.0,self_transition_up,14.8
383,base_llm_gpt35,0.2,5.0,2025-02-16_19-51-06,132.0,103.0,0.44,65.0,0.3433333333333333,0.2166666666666666,5.0,0.46,opponent_transition_stay,2.8
384,base_llm_gpt35,0.2,5.0,2025-02-16_19-53-55,121.0,109.0,0.4033333333333333,70.0,0.3633333333333333,0.2333333333333333,6.0,0.4596,opponent_transition_stay,2.8
385,base_llm_gpt35,0.2,5.0,2025-02-16_19-56-42,122.0,101.0,0.4066666666666667,77.0,0.3366666666666666,0.2566666666666666,7.0,0.4593,opponent_transition_stay,2.8
386,base_llm_gpt35,0.2,5.0,2025-02-16_19-59-30,120.0,107.0,0.4,73.0,0.3566666666666667,0.2433333333333333,8.0,0.4596,opponent_transition_stay,2.9
387,base_llm_gpt35,0.2,5.0,2025-02-16_20-02-26,131.0,104.0,0.4366666666666666,65.0,0.3466666666666667,0.2166666666666666,9.0,0.4591,opponent_transition_stay,2.8
388,base_llm_llama3,0.2,5.0,2025-02-16_19-51-34,30.0,28.0,0.1,242.0,0.0933333333333333,0.8066666666666666,2.0,0.0,self_transition_up,15.2
389,base_llm_gpt35,0.2,5.0,2025-02-16_20-05-15,103.0,92.0,0.3433333333333333,105.0,0.3066666666666666,0.35,3.0,0.4607,W_up_L_down_T_stay,3.0
